Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.21238938053097345,0.2608695652173913,0.1791044776119403,0.0,0.0,0.782608695652174,0.0,0.0,0.5373134328358209,0.0,0.0,0.6371681415929203,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.18388631565680433,0.32183507549361207,0.4537037037037037,0.014285714285714285,0.0,0.9512195121951219,1.0,0.0,0.3611111111111111,0.028169014084507043,0.0,0.523489932885906,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.06060606060606061,0.03333333333333333,0.3333333333333333,0.1,0.0,0.0,1.0,0.0,0.0,0.18181818181818182,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.04713804713804714,0.3333333333333333,0.025362318840579712,0.0,0.0,1.0,0.0,0.0,0.07608695652173914,0.0,0.0,0.1414141414141414,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.14328808446455507,0.4047619047619047,0.3466666666666667,0.21428571428571427,1.0,0.0,1.0,0.04,0.0,0.35294117647058826,0.07692307692307693,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.2586731588557517,0.48148148148148145,0.4969491525423729,0.2962962962962963,,0.6666666666666666,0.96,,0.03389830508474576,0.4528301886792453,,0.06451612903225806,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.2997416020671835,0.3333333333333333,0.27230046948356806,1.0,0.0,0.0,0.8169014084507042,0.0,0.0,0.8992248062015504,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.2876943881000676,0.2976190476190476,0.29640151515151514,0.75,0.14285714285714285,0.0,0.84375,0.045454545454545456,0.0,0.7941176470588235,0.06896551724137931,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.04272300469483568,0.33809523809523806,0.3508771929824561,0.014285714285714285,1.0,0.0,1.0,0.05263157894736842,0.0,0.028169014084507043,0.1,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.03724053724053724,0.33739837398373984,0.18199233716475094,0.012195121951219513,0.0,1.0,0.5,0.0,0.04597701149425287,0.023809523809523808,0.0,0.08791208791208792,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.3063063063063063,0.3238095238095238,0.2905982905982906,0.9714285714285714,0.0,0.0,0.8717948717948718,0.0,0.0,0.9189189189189189,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",23,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.3618421052631579,0.5,0.28350515463917525,1.0,,0.0,0.5670103092783505,,0.0,0.7236842105263158,,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.3832335329341317,0.5,0.3106796116504854,1.0,,0.0,0.6213592233009708,,0.0,0.7664670658682634,,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.37055837563451777,0.5,0.29435483870967744,1.0,,0.0,0.5887096774193549,,0.0,0.7411167512690355,,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.26973684210526316,0.5,0.18468468468468469,0.0,,1.0,0.0,,0.36936936936936937,0.0,,0.5394736842105263,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.3636363636363636,0.48,0.2926829268292683,0.96,,0.0,0.5853658536585366,,0.0,0.7272727272727272,,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,100,7.0,10,64,0.001,,10
