Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.24242424242424243,0.2857142857142857,0.21052631578947367,0.0,0.0,0.8571428571428571,0.0,0.0,0.631578947368421,0.0,0.0,0.7272727272727273,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.2765957446808511,0.5,0.19117647058823528,0.0,,1.0,0.0,,0.38235294117647056,0.0,,0.5531914893617021,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.041666666666666664,0.022222222222222223,0.3333333333333333,0.06666666666666667,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.044444444444444446,0.3333333333333333,0.023809523809523808,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.13333333333333333,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.11862068965517243,0.38666666666666666,0.34722222222222227,0.16,1.0,0.0,1.0,0.041666666666666664,0.0,0.2758620689655173,0.07999999999999999,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.26875000000000004,0.64,0.5263157894736842,0.28,,1.0,1.0,,0.05263157894736842,0.43750000000000006,,0.1,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.3,0.3333333333333333,0.27272727272727276,1.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.9,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.3504968383017164,0.42424242424242425,0.3458646616541354,0.7727272727272727,0.5,0.0,0.8947368421052632,0.14285714285714285,0.0,0.8292682926829269,0.22222222222222224,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.027777777777777776,0.3333333333333333,0.014492753623188406,0.0,1.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.08333333333333333,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.050332383665717,0.3466666666666667,0.3461538461538462,0.04,0.0,1.0,1.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.07407407407407407,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,32,7.0,10,64,0.001,,10
