Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
LSTM,0.6361423073902458,0.6367481203007519,0.638045540796964,0.5892857142857143,0.6842105263157895,,0.6470588235294118,0.6290322580645161,,0.616822429906542,0.6554621848739496,,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,82,6.0,10,64,0.001,,20
LSTM,0.7396264749550676,0.7397959183673469,0.740421755924418,0.7142857142857143,0.7653061224489796,,0.7526881720430108,0.7281553398058253,,0.7329842931937173,0.746268656716418,,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,42,7.25,13,64,0.001,,30
LSTM,0.7040816326530612,0.7040816326530612,0.7040816326530612,0.7040816326530612,0.7040816326530612,,0.7040816326530612,0.7040816326530612,,0.7040816326530612,0.7040816326530612,,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,100,7.25,13,64,0.001,,30
LSTM,0.7703543624860052,0.7704081632653061,0.7706618030224075,0.7857142857142857,0.7551020408163265,,0.7623762376237624,0.7789473684210526,,0.7738693467336684,0.7668393782383419,,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,22,7.25,13,64,0.001,,50
LSTM,0.7945492662473794,0.7959183673469388,0.8040222507488233,0.8775510204081632,0.7142857142857143,,0.7543859649122807,0.8536585365853658,,0.8113207547169812,0.7777777777777778,,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,52,7.25,13,64,0.001,,50
LSTM,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,,0.7857142857142857,0.7857142857142857,,0.7857142857142857,0.7857142857142857,,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,72,7.25,13,64,0.001,,40
LSTM,0.7955778055903213,0.7959183673469388,0.7979035639412998,0.7551020408163265,0.8367346938775511,,0.8222222222222222,0.7735849056603774,,0.7872340425531915,0.803921568627451,,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,92,7.25,13,64,0.001,,40
LSTM,0.6713536435665662,0.674645390070922,0.6804029304029304,0.5833333333333334,0.7659574468085106,,0.717948717948718,0.6428571428571429,,0.6436781609195402,0.6990291262135923,,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,92,2.0,12,64,0.001,,40
LSTM,0.7630278526504941,0.7630727762803236,0.7631200575125809,0.7547169811320755,0.7714285714285715,,0.7692307692307693,0.7570093457943925,,0.7619047619047619,0.7641509433962265,,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]",RW,RW,5,92,2.0,12,64,0.001,,40
LSTM,0.6942084942084943,0.6944444444444444,0.695046439628483,0.6666666666666666,0.7222222222222222,,0.7058823529411765,0.6842105263157895,,0.6857142857142857,0.7027027027027027,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,92,2.0,12,64,0.001,,40
LSTM,0.7211750127560318,0.7213740458015268,0.7220079476390837,0.6946564885496184,0.7480916030534351,,0.7338709677419355,0.7101449275362319,,0.7137254901960784,0.7286245353159851,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,92,2.0,5,64,0.001,,40
LSTM,0.6705269930397146,0.6722610722610722,0.6752015173067805,0.6060606060606061,0.7384615384615385,,0.7017543859649122,0.6486486486486487,,0.6504065040650406,0.6906474820143885,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,92,2.0,10,64,0.001,,40
LSTM,0.7175407925407926,0.7175572519083969,0.717607973421927,0.7099236641221374,0.7251908396946565,,0.7209302325581395,0.7142857142857143,,0.7153846153846154,0.7196969696969697,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,92,1.0,5,64,0.001,,40
