Model,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
cnn,0.6502258355916892,0.6439393939393939,0.6594202898550725,0.8560606060606061,0.4318181818181818,0.8188405797101449,0.5,0.837037037037037,0.46341463414634143,"[3, 6, 9, 14, 16, 18, 19, 24]","[3, 6, 9, 14, 16, 18, 19, 24]",FP,FP,2,42
cnn,0.6712678237893489,0.6628787878787878,0.6839393350184717,0.8712121212121212,0.45454545454545453,0.8273381294964028,0.5405405405405406,0.8487084870848707,0.49382716049382713,"[3, 6, 9, 14, 16, 18, 19, 24]","[3, 6, 9, 14, 16, 18, 19, 24]",FP,FP,2,42
