,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment
0,SVM,0.8017241379310345,0.8039832285115305,0.8017241379310345,0.8013550740823467,0.7586206896551724,,0.8448275862068966,0.8301886792452831,,0.7777777777777778,0.7927927927927928,,0.8099173553719008,0.8013550740823467,0.8017241379310345,0.8039832285115305,[8],[8],['FW'],['FW'],3
1,RandomForest,0.896551724137931,0.8970238095238094,0.896551724137931,0.8965209634255129,0.9137931034482759,,0.8793103448275862,0.8833333333333333,,0.9107142857142857,0.8983050847457628,,0.8947368421052632,0.8965209634255129,0.896551724137931,0.8970238095238094,[8],[8],['FW'],['FW'],3
2,KNN,0.8879310344827587,0.8880463871543265,0.8879310344827587,0.8879227053140097,0.896551724137931,,0.8793103448275862,0.8813559322033898,,0.8947368421052632,0.888888888888889,,0.8869565217391304,0.8879227053140097,0.8879310344827587,0.8880463871543265,[8],[8],['FW'],['FW'],3
3,DecisionTree,0.8275862068965517,0.833939393939394,0.8275862068965517,0.8267622461170848,0.896551724137931,,0.7586206896551724,0.7878787878787878,,0.88,0.8387096774193549,,0.8148148148148148,0.8267622461170848,0.8275862068965517,0.833939393939394,[8],[8],['FW'],['FW'],3
4,MLP,0.8275862068965517,0.8279761904761904,0.8275862068965517,0.8275349390425215,0.8103448275862069,,0.8448275862068966,0.8392857142857143,,0.8166666666666667,0.8245614035087718,,0.8305084745762712,0.8275349390425215,0.8275862068965517,0.8279761904761904,[8],[8],['FW'],['FW'],3
0,SVM,0.4292565947242206,0.31429906234067834,0.33163140702750554,0.2411048837381126,0.45391061452513964,0.0,0.5409836065573771,0.871313672922252,0.0,0.07158351409978309,0.5968778696051423,0.0,0.12643678160919541,0.2411048837381126,0.33163140702750554,0.31429906234067834,[8],[2],['FW'],['FW'],3
1,RandomForest,0.29136690647482016,0.31796387520525454,0.33808041029398295,0.1850524212095738,0.276536312849162,0.0,0.7377049180327869,0.88,0.0,0.07389162561576355,0.4208289054197662,0.0,0.13432835820895522,0.1850524212095738,0.33808041029398295,0.31796387520525454,[8],[2],['FW'],['FW'],3
2,KNN,0.5095923261390888,0.3005767419962335,0.3078349665720304,0.2599790466212677,0.5628491620111732,0.0,0.36065573770491804,0.8395833333333333,0.0,0.062146892655367235,0.6739130434782609,0.0,0.10602409638554218,0.2599790466212677,0.3078349665720304,0.3005767419962335,[8],[2],['FW'],['FW'],3
3,DecisionTree,0.4892086330935252,0.3242005981136416,0.3599078059651372,0.26720286632073137,0.5223463687150838,0.0,0.5573770491803278,0.8904761904761904,0.0,0.0821256038647343,0.6584507042253521,0.0,0.1431578947368421,0.26720286632073137,0.3599078059651372,0.3242005981136416,[8],[2],['FW'],['FW'],3
4,MLP,0.539568345323741,0.3026021287216399,0.30947583722563116,0.2686578507371941,0.6005586592178771,0.0,0.32786885245901637,0.8464566929133859,0.0,0.06134969325153374,0.7026143790849673,0.0,0.10335917312661498,0.2686578507371941,0.30947583722563116,0.3026021287216399,[8],[2],['FW'],['FW'],3
0,SVM,0.5677725118483412,0.5557151458437611,0.5592919397546647,0.553440811507244,0.5915915915915916,,0.5269922879177378,0.6816608996539792,,0.429769392033543,0.6334405144694535,,0.47344110854503463,0.553440811507244,0.5592919397546647,0.5557151458437611,[8],[5],['FW'],['FW'],3
1,RandomForest,0.4909952606635071,0.46327014218009477,0.46212858102318255,0.4622297907239658,0.5720720720720721,,0.35218508997429304,0.6018957345971564,,0.3246445497630332,0.5866050808314088,,0.3378545006165228,0.4622297907239658,0.46212858102318255,0.46327014218009477,[8],[5],['FW'],['FW'],3
2,KNN,0.5545023696682464,0.5263403907438667,0.5268629812331612,0.5263979308026163,0.6321321321321322,,0.42159383033419023,0.651702786377709,,0.40097799511002447,0.6417682926829268,,0.41102756892230574,0.5263979308026163,0.5268629812331612,0.5263403907438667,[8],[5],['FW'],['FW'],3
3,DecisionTree,0.4369668246445498,0.44743526653254406,0.44392721770613797,0.4323641304347826,0.4174174174174174,,0.4704370179948586,0.5743801652892562,,0.3204903677758319,0.4834782608695652,,0.3812500000000001,0.4323641304347826,0.44392721770613797,0.44743526653254406,[8],[5],['FW'],['FW'],3
4,MLP,0.5345971563981042,0.5200443366968068,0.5212545450334654,0.5176058207094105,0.5720720720720721,,0.4704370179948586,0.6490630323679727,,0.391025641025641,0.6081404628890662,,0.4270711785297549,0.5176058207094105,0.5212545450334654,0.5200443366968068,[8],[5],['FW'],['FW'],3
0,SVM,0.4778481012658228,0.5112825236011973,0.510132340777502,0.4734131192243599,0.3279569892473118,,0.6923076923076923,0.6039603960396039,,0.4186046511627907,0.42508710801393723,,0.5217391304347826,0.4734131192243599,0.510132340777502,0.5112825236011973,[8],[7],['FW'],['FW'],3
