,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment
4,MLP,0.5502890173410404,0.5036588531807413,0.5146886399166233,0.4098214301374572,0.5556930693069307,0.47368421052631576,0.9373695198329853,0.06994818652849741,0.6977466977466977,0.12189616252821671,0.4098214301374572,0.5146886399166233,0.5036588531807413,[8],[15],['FW'],['FW'],3
0,SVM,0.46132971506105835,0.5249103561444026,0.5498086037185563,0.4185074994683695,0.4265402843601896,0.6730769230769231,0.8881578947368421,0.16166281755196305,0.576307363927428,0.260707635009311,0.4185074994683695,0.5498086037185563,0.5249103561444026,[8],[18],['FW'],['FW'],3
1,RandomForest,0.5739484396200815,0.48277610110346125,0.46671071819176085,0.44333205041855095,0.6161137440758294,0.3173076923076923,0.8459869848156182,0.11956521739130435,0.7129798903107861,0.17368421052631583,0.44333205041855095,0.46671071819176085,0.48277610110346125,[8],[18],['FW'],['FW'],3
2,KNN,0.5074626865671642,0.49235348796033995,0.48425537732409774,0.42437856225350656,0.5165876777251185,0.4519230769230769,0.8515625,0.13314447592067988,0.6430678466076696,0.20568927789934355,0.42437856225350656,0.48425537732409774,0.49235348796033995,[8],[18],['FW'],['FW'],3
3,DecisionTree,0.49796472184531887,0.4935811507527325,0.4867617572001458,0.4208042344225247,0.5023696682464455,0.47115384615384615,0.8525469168900804,0.1346153846153846,0.6322067594433399,0.2094017094017094,0.4208042344225247,0.4867617572001458,0.4935811507527325,[8],[18],['FW'],['FW'],3
4,MLP,0.49525101763907736,0.5162454740264539,0.5333956130757078,0.4336858630091713,0.4802527646129542,0.5865384615384616,0.8760806916426513,0.1564102564102564,0.6204081632653061,0.24696356275303644,0.4336858630091713,0.5333956130757078,0.5162454740264539,[8],[18],['FW'],['FW'],3
0,SVM,0.4509582863585118,0.5123834636029758,0.525537837429601,0.4043983923117757,0.42297650130548303,0.628099173553719,0.8780487804878049,0.14671814671814673,0.5709251101321586,0.2378716744913928,0.4043983923117757,0.525537837429601,0.5123834636029758,[8],[19],['FW'],['FW'],3
1,RandomForest,0.6234498308906427,0.5000775674837108,0.5001456530651878,0.47382423984086386,0.6697127937336814,0.3305785123966942,0.8636363636363636,0.13651877133105803,0.7544117647058823,0.1932367149758454,0.47382423984086386,0.5001456530651878,0.5000775674837108,[8],[19],['FW'],['FW'],3
2,KNN,0.5648252536640361,0.5122057631978061,0.5253544224586237,0.46250863422292,0.5796344647519582,0.47107438016528924,0.8740157480314961,0.1503957783641161,0.6970172684458399,0.22800000000000004,0.46250863422292,0.5253544224586237,0.5122057631978061,[8],[19],['FW'],['FW'],3
3,DecisionTree,0.4092446448703495,0.46700334064098553,0.4317966035863021,0.3578218434636513,0.4007832898172324,0.4628099173553719,0.8252688172043011,0.1087378640776699,0.539543057996485,0.1761006289308176,0.3578218434636513,0.4317966035863021,0.46700334064098553,[8],[19],['FW'],['FW'],3
4,MLP,0.5287485907553551,0.5234248665141114,0.5497000625768724,0.4535730286738351,0.52088772845953,0.5785123966942148,0.8866666666666667,0.16018306636155608,0.6562499999999999,0.25089605734767023,0.4535730286738351,0.5497000625768724,0.5234248665141114,[8],[19],['FW'],['FW'],3
0,SVM,0.5411622276029056,0.46532544666764036,0.41480900052328623,0.3996759192674625,0.5768707482993197,0.25274725274725274,0.8617886178861789,0.0688622754491018,0.6911165444172779,0.10823529411764705,0.3996759192674625,0.41480900052328623,0.46532544666764036,[8],[20],['FW'],['FW'],3
