,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomSeed
0,RandomForest,10.916638333108983,0.6445475049554705,2.5659404703714603,"[6, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[5, 2]",RW,RW,5,32
0,RandomForest,10.65487457117503,0.6576402241153632,2.4589381309601914,"[2, 5, 9, 10, 11, 13, 15, 16, 18, 19, 20, 24]","[6, 17]",RW,RW,5,52
0,RandomForest,0.029372721011811525,0.38094615666575504,0.13268261720283198,"[7, 9, 10, 12, 14, 15, 17, 20, 21, 23, 24]","[3, 8]",RP,RP,6,100
0,RandomForest,0.02361542335334353,0.4821651716852924,0.11856352381581904,"[3, 7, 8, 9, 12, 14, 15, 17, 20, 23, 24]","[10, 21]",RP,RP,6,42
0,RandomForest,0.024393067905589642,0.4546428827593242,0.12130839825891052,"[3, 8, 9, 10, 14, 15, 17, 20, 21, 23, 24]","[12, 7]",RP,RP,6,12
0,RandomForest,0.02415648920708689,0.46853436505287416,0.1189675811994126,"[3, 7, 8, 10, 12, 14, 17, 20, 21, 23, 24]","[9, 15]",RP,RP,6,32
0,RandomForest,0.020025727172697582,0.5607974552753835,0.10818475385822074,"[3, 7, 8, 9, 10, 12, 14, 15, 20, 23, 24]","[21, 17]",RP,RP,6,52
0,RandomForest,0.0073604169182336626,0.202887162844816,0.06840893945514268,"[3, 6, 9, 16, 18, 19, 24]",[14],FP,FP,1,100
0,RandomForest,0.007421153878751564,0.20411750996907374,0.06808548154857048,"[3, 6, 14, 16, 18, 19, 24]",[9],FP,FP,1,42
0,RandomForest,0.007910792865273545,0.19968127339042874,0.06911416370651371,"[6, 9, 14, 16, 18, 19, 24]",[3],FP,FP,1,32
0,RandomForest,0.008013210607966873,0.2240265011795477,0.07015452661705637,"[3, 9, 14, 16, 18, 19, 24]",[6],FP,FP,1,52
0,RandomForest,0.00814629961829869,0.17866233258443343,0.07143050778075478,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,1,12
0,RandomForest,0.03590401235653663,0.2881775212636648,0.15548507445547657,"[5, 7, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[8, 2]",FW,FW,2,32
0,RandomForest,0.03417003639824085,0.3465079125708509,0.15264815684333152,"[2, 7, 8, 9, 13, 14, 15, 18, 19, 20, 21, 23]","[5, 11]",FW,FW,2,100
0,RandomForest,0.03626504375281601,0.3233268855639606,0.15632256088156748,"[2, 5, 7, 8, 9, 11, 14, 18, 19, 20, 21, 23]","[15, 13]",FW,FW,2,42
0,RandomForest,0.039088127271524,0.2607274532903704,0.16270425181729223,"[5, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[7, 2]",FW,FW,2,12
0,RandomForest,0.03744936450298267,0.28794906824302113,0.15865061252738513,"[5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 21, 23]","[20, 2]",FW,FW,2,52
0,RandomForest,0.06057891521259822,0.2091586614729245,0.16712386599400691,"[5, 7, 8, 10, 12, 20, 23, 24, 25]","[6, 3]",LW,LW,3,100
0,RandomForest,0.061741055539442966,0.2446460671437638,0.17034856582072602,"[3, 5, 6, 7, 8, 10, 12, 23, 24]","[25, 20]",LW,LW,3,42
0,RandomForest,0.05905290274651376,0.25864713255398153,0.16659541660356494,"[3, 6, 7, 8, 12, 20, 23, 24, 25]","[10, 5]",LW,LW,3,12
0,RandomForest,0.05855991359365243,0.2074011993106939,0.1690725046690712,"[3, 5, 6, 7, 10, 12, 20, 23, 25]","[8, 24]",LW,LW,3,32
0,RandomForest,0.054253800044397525,0.2603930310960859,0.1614666637056922,"[3, 6, 8, 10, 12, 20, 23, 24, 25]","[7, 5]",LW,LW,3,52
0,RandomForest,0.001137788703017053,0.2220783919702103,0.023732588209648835,"[2, 3, 5, 10, 11, 15, 16, 17, 21, 23]","[13, 18]",LP,LP,4,100
0,RandomForest,0.0011800333035598435,0.10908172026068552,0.0241242008058954,"[5, 10, 11, 13, 15, 16, 17, 18, 21, 23]","[2, 3]",LP,LP,4,42
