,Regressor,MSE,R2,MAE,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,RandomForest,0.07006276574076226,-0.11446004453904024,0.18725836837112375,"[3, 5, 6, 7, 8, 10, 20, 24, 25]","[12, 23]",['LW'],['LW'],3,42
0,RandomForest,0.07671120720044051,-0.14237588182531202,0.2124283233984594,"[3, 5, 6, 7, 8, 10, 12, 23, 24]","[25, 20]",['LW'],['LW'],3,42
0,RandomForest,0.10436073113010848,-0.32783717546526114,0.2250263823919342,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[7, 10]",['LW'],['LW'],3,42
0,RandomForest,0.0018805144473638235,-0.1394874670527697,0.029843356701028962,"[2, 3, 5, 10, 11, 13, 15, 17, 21, 23]","[16, 18]",['LP'],['LP'],4,42
0,RandomForest,0.06883201743358396,-0.009648680930088638,0.1828512135504071,"[6, 7, 8, 10, 12, 20, 23, 24, 25]","[5, 3]",['LW'],['LW'],3,42
0,RandomForest,0.001409337281524118,-0.18050561538755128,0.027803757301698196,"[2, 3, 5, 10, 11, 13, 16, 18, 21, 23]","[15, 17]",['LP'],['LP'],4,42
0,RandomForest,0.07940628254211946,-0.13524209890775807,0.21881655118229407,"[3, 5, 7, 8, 10, 12, 20, 23, 25]","[24, 6]",['LW'],['LW'],3,42
0,RandomForest,0.0011045791095468907,-0.9483815527764026,0.027357727066134752,"[2, 3, 10, 13, 15, 16, 17, 18, 21, 23]","[5, 11]",['LP'],['LP'],4,42
0,RandomForest,0.0012391071310674938,-0.6543163176438684,0.02629669763234239,"[2, 3, 5, 11, 13, 15, 16, 17, 18, 23]","[21, 10]",['LP'],['LP'],4,42
0,RandomForest,0.001555177827885728,-0.13607295711856682,0.02935517393944816,"[2, 3, 10, 11, 13, 15, 16, 17, 21, 23]","[18, 5]",['LP'],['LP'],4,42
