,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.5163841807909605,0.33130157439020474,0.3951840535428488,0.2775915980924099,0.5303797468354431,0.0,0.8991416309012875,0.0,0.6671974522292994,0.0,0.2775915980924099,0.3951840535428488,0.33130157439020474,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[19, 21]",FW,FW,1,42
0,MLP,0.4489281210592686,0.32737618833569304,0.2972331305664639,0.2483244909203692,0.4757834757834758,0.02702702702702703,0.9051490514905149,0.02127659574468085,0.6237161531279178,0.023809523809523808,0.2483244909203692,0.2972331305664639,0.32737618833569304,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.9014423076923077,0.38523276586801175,0.36277976901632814,0.37016492643569054,0.9587096774193549,0.0,0.9369482976040353,0.0,0.9477040816326531,0.0,0.37016492643569054,0.36277976901632814,0.38523276586801175,"[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]","[18, 13]",FW,FW,1,42
0,MLP,0.10486891385767791,0.3075426852887158,0.1734507724399045,0.09153386406299859,0.0849194729136164,0.14035087719298245,0.8529411764705882,0.023054755043227664,0.1544607190412783,0.039603960396039604,0.09153386406299859,0.1734507724399045,0.3075426852887158,"[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]","[14, 23]",FW,FW,1,42
0,MLP,0.4489281210592686,0.32737618833569304,0.2972331305664639,0.2483244909203692,0.4757834757834758,0.02702702702702703,0.9051490514905149,0.02127659574468085,0.6237161531279178,0.023809523809523808,0.2483244909203692,0.2972331305664639,0.32737618833569304,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.2842438638163104,0.3258023295768747,0.26905594211867273,0.22836256566324473,0.2494802494802495,0.42435424354243545,0.7430340557275542,0.22504892367906065,0.37354085603112847,0.2941176470588235,0.22836256566324473,0.26905594211867273,0.3258023295768747,"[3, 5, 7, 8, 10, 12, 20, 23, 25]","[24, 6]",LW,LW,3,42
0,MLP,0.3756708407871199,0.34199057452533127,0.34899834300588295,0.2876771130575448,0.38443935926773454,0.4244604316546763,0.7924528301886793,0.15128205128205127,0.5177195685670262,0.22306238185255198,0.2876771130575448,0.34899834300588295,0.34199057452533127,"[3, 5, 6, 7, 8, 10, 20, 23, 25]","[12, 24]",LW,LW,3,42
0,MLP,0.25,0.33469251809460926,0.3866548393455549,0.21354611634037432,0.21052631578947367,0.449438202247191,0.821917808219178,0.09302325581395349,0.33519553072625696,0.15414258188824664,0.21354611634037432,0.3866548393455549,0.33469251809460926,"[3, 5, 6, 7, 10, 20, 23, 24, 25]","[12, 8]",LW,LW,3,42
0,MLP,0.23244929797191888,0.3892108776614433,0.46730945311079203,0.20970040533757947,0.09484536082474226,0.6619217081850534,0.8598130841121495,0.26571428571428574,0.17084493964716804,0.3792048929663609,0.20970040533757947,0.46730945311079203,0.3892108776614433,"[3, 6, 7, 8, 10, 20, 23, 24, 25]","[5, 12]",LW,LW,3,42
0,MLP,0.2763671875,0.34931103445396966,0.3930951556939897,0.24408053685769251,0.06525037936267071,0.7666666666666667,0.6231884057971014,0.30895522388059704,0.11813186813186813,0.44042553191489364,0.24408053685769251,0.3930951556939897,0.34931103445396966,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[10, 7]",LW,LW,3,42
