,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomSeed
0,DecisionTree,0.7182724252491695,0.7413631222595788,0.6664675789610887,0.6627051235706597,0.841642228739003,0.854389721627409,0.30337078651685395,0.7025703794369645,0.7215189873417721,0.8,0.7658438959306204,0.7823529411764705,0.439918533604888,0.6627051235706597,0.6664675789610887,0.7413631222595788,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 20, 24]","[19, 18]",RW,RW,5,100
0,DecisionTree,0.725,0.7035716377772453,0.6475369160009682,0.6620086171086107,0.8799019607843137,0.6676470588235294,0.3950617283950617,0.7455867082035307,0.6984615384615385,0.6666666666666666,0.8071950534007869,0.6827067669172933,0.49612403100775193,0.6620086171086107,0.6475369160009682,0.7035716377772453,"[2, 5, 6, 9, 10, 13, 15, 16, 17, 18, 19, 20]","[11, 24]",RW,RW,5,42
0,DecisionTree,0.7258261933904528,0.7398123313783364,0.7072062097178354,0.712649385111264,0.7994428969359332,0.8221757322175732,0.5,0.6857825567502986,0.7705882352941177,0.7630662020905923,0.7382636655948552,0.7955465587044535,0.6041379310344828,0.712649385111264,0.7072062097178354,0.7398123313783364,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 20, 24]","[17, 19]",RW,RW,5,12
0,DecisionTree,0.7356979405034325,0.7287287679772206,0.684787149786513,0.7003747889902433,0.8528347406513872,0.6692073170731707,0.532319391634981,0.7236438075742068,0.772887323943662,0.6896551724137931,0.7829457364341085,0.7173202614379086,0.6008583690987124,0.7003747889902433,0.684787149786513,0.7287287679772206,"[2, 5, 6, 10, 13, 15, 16, 17, 18, 19, 20, 24]","[11, 9]",RW,RW,5,32
0,DecisionTree,0.6564516129032258,0.6593106032640917,0.6153732163917204,0.6287460362061247,0.7868561278863233,0.5909090909090909,0.46835443037974683,0.6392496392496393,0.6933333333333334,0.6453488372093024,0.7054140127388536,0.638036809815951,0.5427872860635696,0.6287460362061247,0.6153732163917204,0.6593106032640917,"[2, 5, 9, 10, 11, 13, 15, 16, 17, 19, 20, 24]","[6, 18]",RW,RW,5,52
0,DecisionTree,0.8672096317280453,0.7522072702920025,0.728757913493686,0.7337405969705761,0.9113257243195786,0.5369127516778524,0.7380352644836272,0.9317773788150808,0.7207207207207207,0.6041237113402061,0.9214380825565913,0.6153846153846154,0.6643990929705216,0.7337405969705761,0.728757913493686,0.7522072702920025,"[3, 7, 8, 9, 10, 12, 14, 15, 20, 21, 24]","[17, 23]",RP,RP,6,100
0,DecisionTree,0.8905263157894737,0.8952582427272687,0.7645909737539069,0.8165303673528648,0.9779573842762674,0.6935933147632312,0.6222222222222222,0.8849734042553191,0.9325842696629213,0.8682170542635659,0.9291448516579406,0.7955271565495207,0.7249190938511327,0.8165303673528648,0.7645909737539069,0.8952582427272687,"[3, 7, 8, 9, 12, 14, 15, 17, 20, 23, 24]","[21, 10]",RP,RP,6,42
0,DecisionTree,0.8657587548638133,0.866921306329262,0.7624149104192485,0.8033368493926843,0.963882618510158,0.5272727272727272,0.7960893854748603,0.8652482269503546,0.7759197324414716,0.9595959595959596,0.9119060331019754,0.6278755074424899,0.8702290076335878,0.8033368493926843,0.7624149104192485,0.866921306329262,"[3, 7, 8, 9, 10, 12, 17, 20, 21, 23, 24]","[15, 14]",RP,RP,6,32
0,DecisionTree,0.7091140044458558,0.4558438986326909,0.4596977849010369,0.4576867815527612,0.7892107892107892,0.0,0.5898825654923215,0.7651331719128329,0.0,0.6023985239852399,0.7769854929923776,0.0,0.596074851665906,0.4576867815527612,0.4596977849010369,0.4558438986326909,"[3, 7, 10, 12, 14, 15, 17, 20, 21, 23, 24]","[8, 9]",RP,RP,6,12
0,DecisionTree,0.8728717366628831,0.8308672690728359,0.509743784788882,0.5538020313416044,0.9855471438403304,0.07,0.47368421052631576,0.8758409785932721,0.7777777777777778,0.8389830508474576,0.927461139896373,0.12844036697247707,0.6055045871559632,0.5538020313416044,0.509743784788882,0.8308672690728359,"[7, 8, 9, 10, 12, 14, 15, 17, 21, 23, 24]","[20, 3]",RP,RP,6,52
0,DecisionTree,0.8451807228915663,0.5308646447084581,0.4959781016835758,0.5078679927768367,0.9514263685427911,0.5365079365079365,0.0,0.8641456582633054,0.728448275862069,0.0,0.9056880733944954,0.6179159049360147,0.0,0.5078679927768367,0.4959781016835758,0.5308646447084581,"[3, 5, 6, 7, 8, 10, 20, 24, 25]","[12, 23]",LW,LW,3,100
0,DecisionTree,0.772938443670151,0.7150694449195479,0.5471836225736427,0.5917734357794927,0.9482333607230896,0.35798816568047337,0.33532934131736525,0.7850340136054422,0.7707006369426752,0.5894736842105263,0.8589505024190548,0.48888888888888893,0.4274809160305343,0.5917734357794927,0.5471836225736427,0.7150694449195479,"[3, 5, 6, 8, 10, 12, 20, 23, 25]","[7, 24]",LW,LW,3,42
0,DecisionTree,0.8228211009174312,0.7972000343655612,0.5160863059670678,0.5691005750454319,0.9682656826568266,0.3950617283950617,0.18493150684931506,0.8314321926489227,0.7164179104477612,0.84375,0.8946471189907943,0.5092838196286473,0.3033707865168539,0.5691005750454319,0.5160863059670678,0.7972000343655612,"[5, 6, 7, 8, 10, 12, 20, 23, 25]","[24, 3]",LW,LW,3,12
0,DecisionTree,0.8119072708113804,0.5764123660171313,0.5244463580302604,0.5453118209200668,0.910857908847185,0.48066298342541436,0.18181818181818182,0.8584965255843335,0.6126760563380281,0.25806451612903225,0.8839024390243903,0.5386996904024767,0.21333333333333335,0.5453118209200668,0.5244463580302604,0.5764123660171313,"[3, 5, 6, 7, 8, 10, 23, 24, 25]","[20, 12]",LW,LW,3,32
0,DecisionTree,0.8308329022245214,0.8451760055223678,0.5931342100234716,0.6499894804220346,0.9484098939929329,0.5738498789346247,0.2571428571428571,0.842435655994978,0.7620578778135049,0.9310344827586207,0.8922872340425532,0.654696132596685,0.40298507462686567,0.6499894804220346,0.5931342100234716,0.8451760055223678,"[3, 7, 8, 10, 12, 20, 23, 24, 25]","[5, 6]",LW,LW,3,52
0,DecisionTree,0.7925696594427245,0.6856625241084243,0.5273365644226088,0.575676019208193,0.9317155756207675,0.375,0.2752941176470588,0.8275689223057644,0.7272727272727273,0.5021459227467812,0.8765595964958853,0.49484536082474223,0.35562310030395133,0.575676019208193,0.5273365644226088,0.6856625241084243,"[3, 5, 10, 11, 13, 15, 16, 17, 18, 23]","[21, 2]",LP,LP,4,100
0,DecisionTree,0.8008962868117798,0.4571199303024051,0.4112766432317822,0.42020516352289494,0.9441747572815534,0.0,0.2896551724137931,0.8294243070362474,0.0,0.5419354838709678,0.8830874006810443,0.0,0.3775280898876405,0.42020516352289494,0.4112766432317822,0.4571199303024051,"[5, 10, 11, 13, 15, 16, 17, 18, 21, 23]","[2, 3]",LP,LP,4,42
0,DecisionTree,0.7235494880546075,0.44606937967800936,0.42422436324809426,0.42262182091517886,0.915671117357695,0.0,0.35700197238658776,0.7467048710601719,0.0,0.5915032679738562,0.82260101010101,0.0,0.44526445264452646,0.42262182091517886,0.42422436324809426,0.44606937967800936,"[2, 3, 5, 10, 11, 15, 16, 17, 18, 23]","[21, 13]",LP,LP,4,12
0,DecisionTree,0.6807095343680709,0.5624149105715925,0.5017480388713266,0.4970720948510863,0.7639620653319283,0.1346153846153846,0.6066666666666667,0.8219954648526077,0.45161290322580644,0.41363636363636364,0.7919169852539596,0.2074074074074074,0.491891891891892,0.4970720948510863,0.5017480388713266,0.5624149105715925,"[2, 3, 10, 11, 13, 15, 16, 18, 21, 23]","[5, 17]",LP,LP,4,32
0,DecisionTree,0.7656050955414013,0.3992143635000778,0.4213797814207651,0.4091630654407998,0.8625,0.0,0.4016393442622951,0.8665620094191523,0.0,0.3310810810810811,0.8645262333594362,0.0,0.362962962962963,0.4091630654407998,0.4213797814207651,0.3992143635000778,"[2, 3, 5, 10, 13, 15, 16, 17, 18, 21]","[11, 23]",LP,LP,4,52
