,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.40896921017402943,0.41015369443975636,0.40896921017402943,0.40874746917492283,0.4357429718875502,0.3795180722891566,0.3981651376146789,0.42954545454545456,0.4161073825503356,0.40298507462686567,0.40874746917492283,0.40896921017402943,0.41015369443975636,"[2, 6, 9, 10, 11, 13, 15, 16, 17, 18, 20, 24]","[19, 5]",RW,RW,5,42
0,MLP,0.4544846050870147,0.4503534234403778,0.45448460508701477,0.4511522465429358,0.3353413654618474,0.536144578313253,0.3901869158878505,0.4776386404293381,0.36069114470842334,0.5052034058656575,0.4511522465429358,0.45448460508701477,0.4503534234403778,"[2, 6, 9, 10, 11, 13, 15, 16, 17, 18, 20, 24]","[19, 5]",RW,RW,5,42
0,MLP,0.5180722891566265,0.5193580019458395,0.5180722891566265,0.5173125902897767,0.5441767068273092,0.4538152610441767,0.4882882882882883,0.5255813953488372,0.5147198480531814,0.4870689655172414,0.5173125902897767,0.5180722891566265,0.5193580019458395,"[2, 6, 9, 10, 11, 13, 15, 16, 17, 18, 20, 24]","[19, 5]",RW,RW,5,42
0,MLP,0.5635876840696118,0.5611868033061769,0.5635876840696118,0.5609653721468489,0.4859437751004016,0.5281124497991968,0.5353982300884956,0.5548523206751055,0.5094736842105263,0.5411522633744857,0.5609653721468489,0.5635876840696118,0.5611868033061769,"[2, 6, 9, 10, 11, 13, 15, 16, 17, 18, 20, 24]","[19, 5]",RW,RW,5,42
0,MLP,0.8982597054886211,0.8984282437766885,0.8982597054886212,0.8982769122897518,0.8694779116465864,0.893574297188755,0.8608349900596421,0.9156378600823045,0.8651348651348651,0.9044715447154471,0.8982769122897518,0.8982597054886212,0.8984282437766885,"[2, 6, 9, 10, 11, 13, 15, 16, 17, 18, 20, 24]","[19, 5]",RW,RW,5,42
0,MLP,0.5506944444444445,0.5527078827182935,0.5506944444444444,0.5484571244051605,0.45625,0.5729166666666666,0.5718015665796344,0.5456349206349206,0.507531865585168,0.5589430894308942,0.5484571244051605,0.5506944444444444,0.5527078827182935,"[2, 5, 6, 9, 10, 11, 13, 16, 17, 18, 19, 20]","[15, 24]",RW,RW,5,42
0,KNN,0.8965277777777778,0.8968700151263883,0.8965277777777777,0.8965979445619884,0.8645833333333334,0.9083333333333333,0.8718487394957983,0.8825910931174089,0.8682008368200836,0.8952772073921972,0.8965979445619884,0.8965277777777777,0.8968700151263883,"[2, 5, 6, 9, 10, 11, 13, 16, 17, 18, 19, 20]","[15, 24]",RW,RW,5,42
