,Mental,Physical,Temporal,Effort,Performance,Frustration
Lunar Passive,14.6,14.3,17.875,22.2,35.9,34.5
Robot Passive,30.6,10.7,38.4,21.3,29.1,42.3
Flappy Passive,19.4,9.7,29.64,24.8,33.1,37.7
Lunar Active,75.6,42,57.44,71.6,65.8,66.5
Flappy Active,45.8,17.2,27.3,39.8,53.5,61.2
Robot Active,54.3,35.5,37.2,46.6,30.5,34.2
