,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.5964912280701754,0.6527777777777778,0.6016009852216749,0.5619779485466088,0.3103448275862069,0.8928571428571429,0.75,0.5555555555555556,0.4390243902439025,0.684931506849315,0.5619779485466088,0.6016009852216749,0.6527777777777778,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[19, 21]",FW,FW,1,42
0,MLP,0.4909090909090909,0.4852941176470588,0.48743386243386244,0.4696969696969697,0.6785714285714286,0.2962962962962963,0.5,0.47058823529411764,0.5757575757575758,0.3636363636363636,0.4696969696969697,0.48743386243386244,0.4852941176470588,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.6571428571428571,0.6583333333333333,0.6552287581699346,0.6546052631578947,0.7222222222222222,0.5882352941176471,0.65,0.6666666666666666,0.6842105263157895,0.625,0.6546052631578947,0.6552287581699346,0.6583333333333333,"[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]","[18, 13]",FW,FW,1,42
0,MLP,0.4647887323943662,0.46085858585858586,0.4630952380952381,0.45604838709677425,0.5833333333333334,0.34285714285714286,0.4772727272727273,0.4444444444444444,0.5250000000000001,0.3870967741935484,0.45604838709677425,0.4630952380952381,0.46085858585858586,"[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]","[14, 23]",FW,FW,1,42
0,MLP,0.4909090909090909,0.4852941176470588,0.48743386243386244,0.4696969696969697,0.6785714285714286,0.2962962962962963,0.5,0.47058823529411764,0.5757575757575758,0.3636363636363636,0.4696969696969697,0.48743386243386244,0.4852941176470588,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.5918367346938775,0.5919732441471572,0.5916327286190299,0.5913639733135656,0.6216216216216216,0.5616438356164384,0.5897435897435898,0.5942028985507246,0.6052631578947368,0.5774647887323944,0.5913639733135656,0.5916327286190299,0.5919732441471572,"[3, 5, 6, 7, 8, 10, 20, 23, 25]","[12, 24]",LW,LW,3,42
0,MLP,0.5760869565217391,0.5881226053639848,0.5760869565217391,0.5611009174311927,0.391304347826087,0.7608695652173914,0.6206896551724138,0.5555555555555556,0.48,0.6422018348623854,0.5611009174311927,0.5760869565217391,0.5881226053639848,"[3, 5, 6, 7, 10, 20, 23, 24, 25]","[12, 8]",LW,LW,3,42
0,MLP,0.5638297872340425,0.5640909090909092,0.5638297872340425,0.5633850685397077,0.5319148936170213,0.5957446808510638,0.5681818181818182,0.56,0.5494505494505494,0.577319587628866,0.5633850685397077,0.5638297872340425,0.5640909090909092,"[3, 6, 7, 8, 10, 20, 23, 24, 25]","[5, 12]",LW,LW,3,42
0,MLP,0.5205479452054794,0.5213192095424604,0.5199749791492911,0.5125802827649066,0.6454545454545455,0.3944954128440367,0.5182481751824818,0.524390243902439,0.5748987854251013,0.4502617801047121,0.5125802827649066,0.5199749791492911,0.5213192095424604,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[10, 7]",LW,LW,3,42
0,MLP,0.5760869565217391,0.5881226053639848,0.5760869565217391,0.5611009174311927,0.391304347826087,0.7608695652173914,0.6206896551724138,0.5555555555555556,0.48,0.6422018348623854,0.5611009174311927,0.5760869565217391,0.5881226053639848,"[5, 6, 7, 10, 12, 20, 23, 24, 25]","[3, 8]",LW,LW,3,42
0,MLP,0.5783783783783784,0.5791176470588235,0.5785998129967274,0.5777738764044944,0.5376344086021505,0.6195652173913043,0.5882352941176471,0.57,0.5617977528089887,0.59375,0.5777738764044944,0.5785998129967274,0.5791176470588235,"[2, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 24]","[16, 20]",RW,RW,5,42
