,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,SVM,0.04946217734881321,0.27445336414454813,0.13749882412287653,"[5, 6, 7, 8, 12, 20, 23, 24, 25]","[3, 10]",LW,LW,3,42
0,SVM,0.050949370694597255,0.2947222944356592,0.1395939117411717,"[3, 6, 7, 8, 10, 12, 20, 24, 25]","[23, 5]",LW,LW,3,42
0,SVM,0.003976084845746502,-2.102221991594394,0.056484423555198345,"[2, 3, 5, 10, 15, 16, 17, 18, 21, 23]","[11, 13]",LP,LP,4,42
0,SVM,0.05375928589592853,0.23876254091295612,0.1438926807803153,"[3, 5, 8, 10, 12, 20, 23, 24, 25]","[7, 6]",LW,LW,3,42
0,SVM,0.004355182566456279,-2.2202620391262538,0.060226504505043923,"[2, 3, 5, 10, 11, 15, 16, 17, 18, 23]","[13, 21]",LP,LP,4,42
0,SVM,0.05243223690788179,0.24433202807986298,0.14378290766156876,"[3, 5, 7, 10, 12, 20, 23, 24, 25]","[6, 8]",LW,LW,3,42
0,SVM,0.003952697247092763,-1.819034007215988,0.05636618063358784,"[2, 3, 5, 11, 13, 15, 16, 17, 18, 21]","[23, 10]",LP,LP,4,42
0,SVM,0.003979358761690044,-2.1558586944404845,0.05624341063465664,"[3, 5, 10, 11, 13, 15, 16, 17, 21, 23]","[18, 2]",LP,LP,4,42
0,MLP,12.158466681079178,0.30555320611291725,2.052038700191172,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24]","[23, 11]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,11.92792260638491,0.28583293062917026,2.0908121487157114,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[5, 15]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,11.381882811263573,0.3110988765869389,2.0988860738945965,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[10, 24]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,11.918000269147546,0.27655275047268013,2.093505550248078,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24]","[19, 16]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,11.946588672195709,0.2952752293318257,2.0622076647496015,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24]","[3, 20]","FW, LW, RW","FW, LW, RW",7,42
0,KNeighbors,2.3179330346891023,0.8632660024449277,0.5611396981652297,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24]","[3, 20]","FW, LW, RW","FW, LW, RW",7,42
0,KNeighbors,2.3745261082115303,0.8545751268323807,0.5355348278285406,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24]","[16, 17]","FW, LW, RW","FW, LW, RW",7,42
0,KNeighbors,2.5981991269136104,0.842373869285717,0.5665965247250475,"[3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[7, 2]","FW, LW, RW","FW, LW, RW",7,42
0,KNeighbors,2.12598195358485,0.8750811349315356,0.5172631822405417,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[13, 5]","FW, LW, RW","FW, LW, RW",7,42
0,KNeighbors,2.227104317101586,0.8573113239048481,0.5271434050833,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24]","[21, 13]","FW, LW, RW","FW, LW, RW",7,42
0,RandomForest,8.860813950909609,0.4322951996131964,1.7478809807583096,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24]","[21, 13]","FW, LW, RW","FW, LW, RW",7,42
0,RandomForest,7.898458454489005,0.4821403243494372,1.6112810402032272,"[2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[3, 10]","FW, LW, RW","FW, LW, RW",7,42
0,RandomForest,9.616759881212944,0.43493653463455173,1.8773566957474042,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]","[19, 5]","FW, LW, RW","FW, LW, RW",7,42
0,RandomForest,9.581621759706811,0.41318559340037575,1.8489387796700225,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24]","[16, 17]","FW, LW, RW","FW, LW, RW",7,42
0,RandomForest,10.322126710543538,0.3737828339361048,1.978406381233629,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24]","[18, 2]","FW, LW, RW","FW, LW, RW",7,42
0,SVM,16.578495538631756,-0.0035558610068180396,1.7120044528353187,"[2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[7, 6]","FW, LW, RW","FW, LW, RW",7,42
0,SVM,16.8065502339035,-0.006267824068171501,1.7279573191542377,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[14, 15]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,0.10535247282859464,0.34301179963807005,0.25981377305933095,"[2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[10, 7]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.11109739004618845,0.3038458955319089,0.27108795461439406,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24]","[18, 23]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.10696042493626126,0.3285387193053114,0.2665532817509937,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[15, 10]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.10147952468767224,0.35186893744424574,0.2555808481276776,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[14, 15]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.08699808639175884,0.4502409626176399,0.23387932903455205,"[2, 3, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[12, 8]","FP, LP, RP","FP, LP, RP",8,42
0,KNeighbors,0.01159768756874122,0.9267117954187953,0.049264179199195055,"[2, 3, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[12, 8]","FP, LP, RP","FP, LP, RP",8,42
0,KNeighbors,0.01224749122870337,0.9231144028212049,0.05052786152943293,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]","[19, 10]","FP, LP, RP","FP, LP, RP",8,42
0,KNeighbors,0.011247259958398866,0.9294776887761045,0.0481959022236462,"[2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[7, 12]","FP, LP, RP","FP, LP, RP",8,42
