,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,RandomForest,0.00502071183149852,0.4645366006691479,0.049030803955466065,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,2,42
0,RandomForest,0.0058272223554876245,0.387936853163656,0.0541402337477892,"[3, 6, 9, 14, 18, 19, 24]",[16],FP,FP,2,42
0,RandomForest,0.005737220235680943,0.40018016017315305,0.05421261710732549,"[3, 6, 9, 14, 16, 18, 24]",[19],FP,FP,2,42
0,RandomForest,0.005803977913769872,0.4357903411270062,0.054657760059420114,"[3, 6, 9, 16, 18, 19, 24]",[14],FP,FP,2,42
0,RandomForest,0.00502071183149852,0.4645366006691479,0.049030803955466065,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,2,42
0,RandomForest,0.00570332860932635,0.4153960809218592,0.05361509962590967,"[3, 6, 9, 14, 16, 18, 19]",[24],FP,FP,2,42
0,SVM,0.023126041139487234,0.5043377279344663,0.1169771424659715,"[3, 7, 9, 10, 12, 15, 17, 20, 21, 23, 24]","[14, 8]",RP,RP,6,42
0,KNeighbors,0.0056358721523876165,0.45213204602203083,0.047077408524540426,"[3, 6, 9, 16, 18, 19, 24]",[14],FP,FP,2,42
0,KNeighbors,0.005607654113600879,0.4019386822596914,0.04499314561947082,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,2,42
0,KNeighbors,0.005680598539916025,0.4477081873044786,0.04653434340555693,"[6, 9, 14, 16, 18, 19, 24]",[3],FP,FP,2,42
